問題番号,問題文,正解,正解(ひらがな),正解(カタカナ)
1,784年、(　　)天皇は長岡京に遷都した。,桓武,,
2,784年、桓武天皇は(　　)京に遷都した。,長岡,,
3,桓武天皇は、父(　　)天皇の施政方針を受け継いだ。,光仁,,
4,長岡京は、(　　)国にある。,山背,,
5,785年、造長岡宮使である(　　)が暗殺された。,藤原種継,,
6,藤原種継暗殺への関与を疑われ、桓武天皇の弟にあたる皇太子(　　)がとらえられ死去した。,早良親王,,
7,藤原種継は藤原(　　)家である。,式,,
8,794年、(　　)の建議により平安京への遷都が行われた。,和気清麻呂,,
9,794年、和気清麻呂の建議により(　　)への遷都が行われた。,平安京,,
10,平安京遷都により、(　　)国は山城国に改められた。,山背,,
11,780年、上位の首長(　　)は按察使紀広純を殺害し、一時は多賀城をおとしいれた。,伊治呰麻呂,,
12,780年、蝦夷の首長伊治呰麻呂は、按察使紀広純を殺害し、一時は(　　)をおとしいれた。,多賀城,,
13,797年に(　　)は征夷大将軍となり、蝦夷平定にあたった。,坂上田村麻呂,,
14,(　　)天皇のとき、蝦夷平定のために坂上田村麻呂が征夷大将軍に任命された。,桓武天皇,,
15,桓武天皇のとき、蝦夷平定のために坂上田村麻呂が(　　)に任命された。,征夷大将軍,,
16,802年、坂上田村麻呂は北上川の中流域に(　　)を築いて、そこに鎮守府をうつした。,胆沢城,,
17,802年、坂上田村麻呂は北上川の中流域に胆沢城を築いて、そこに(　　)をうつした。,鎮守府,,
18,803年には胆沢城の北方に対蝦夷戦争の前線拠点として(　　)が築かれた。,志波城,,
19,811年、嵯峨天皇の命を受けた(　　)が蝦夷を征討しようとして以降、蝦夷の征討はなくなった。,文室綿麻呂,,
20,蝦夷征討の結果、帰順同化した蝦夷は(　　)とよばれた。,俘囚,,
21,桓武天皇は(　　)という令外官を設置して、国司の交代を厳しくとりしまった。,勘解由使,,
22,国司が在任中に不正がなかったことを示す証明書を(　　)という。,解由状,,
23,792年、九州・東北以外の諸国では軍団を廃止して、(　　)というあらたな兵制が採用された。,健児の制,,
24,792年に採用されたあらたな兵制では、(　　)の子弟などが採用された。,郡司,,
25,桓武天皇は、(　　)の利率を5割から3割にし、雑徭を60日以内から30日以内に軽減した。,公出挙,,
26,桓武天皇は、公出挙の利率を5割から(　　)割にし、雑徭を60日以内から30日以内に軽減した。,3,,
27,桓武天皇は、公出挙の利率を5割から3割にし、雑徭を60日以内から(　　)日以内に軽減した。,30,,
28,桓武天皇の死の直前に行われた(　　)の制定によって軍事(蝦夷の征討)と造作(平安京の造営)は停止された。,徳政相論,,
29,蝦夷征討・平安京造営の中止は(　　)の建議で、菅原真道はこれに異を唱えた。,藤原緒嗣,,
30,桓武天皇の次には、子の(　　)天皇が即位し、その次には嵯峨天皇が即位した。,平城,,
31,桓武天皇の次には、子の平城天皇が即位し、その次には(　　)天皇が即位した。,嵯峨,,
