問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4,範囲,画像パス
1,次の式を計算しなさい。\n$5x(6x-4y)$,test,testr,testt,tset,,
2,次の式を計算しなさい。\n$(\frac{x}{2}-\frac{y}{3})×6x$,test,testr,testt,tset,,
3,次の式を計算しなさい。\n$8-3x(4x^2-2x+5)$,test,testr,testt,tset,,
4,次の式を計算しなさい。\n$(12x^2+15x)÷3x$,test,testr,testt,tset,,
5,次の式を計算しなさい。\n$(8a^2b-12ab^2)÷(-4ab)$,test,testr,testt,tset,,
6,次の式を計算しなさい。\n$(2a^2-a)÷\frac{1}{2}a$,test,testr,testt,tset,,
7,次の式を計算しなさい。\n$2a(3a+4)+5a(-a+2)$,test,testr,testt,tset,,
8,次の式を計算しなさい。\n$x(2x+3y)-2y(3x-y)$,test,testr,testt,tset,,
9,次の式を計算しなさい。\n$-2x(4x+y) + y(3x-7y)$,test,testr,testt,tset,,
10,次の式を展開しなさい。\n$(a+2)(b-3)$,test,testr,testt,tset,,
11,次の式を展開しなさい。\n$(2a+b)(3c+d)$,test,testr,testt,tset,,
12,次の式を展開しなさい。\n$(3a+2)(2a-7)$,test,testr,testt,tset,,
13,次の式を展開しなさい。\n$(x+2)(x+8)$,test,testr,testt,tset,,
14,次の式を展開しなさい。\n$(a+6)(a-2)$,test,testr,testt,tset,,
15,次の式を展開しなさい。\n$(m-4)(m+2)$,test,testr,testt,tset,,
16,次の式を展開しなさい。\n$(x-5)(x-3)$,test,testr,testt,tset,,
17,次の式を展開しなさい。\n$(x+3y)(x-8y)$,test,testr,testt,tset,,
18,次の式を展開しなさい。\n$(x+8)^2$,test,testr,testt,tset,,
19,次の式を展開しなさい。\n$(2p+5)^2$,test,testr,testt,tset,,
20,次の式を展開しなさい。\n$(3a-7)^2$,test,testr,testt,tset,,
21,次の式を展開しなさい。\n$(x+4y)^2$,test,testr,testt,tset,,
22,次の式を展開しなさい。\n$(4m-3n)^2$,test,testr,testt,tset,,
23,次の式を展開しなさい。\n$(n+8)(n-8)$,test,testr,testt,tset,,
24,次の式を展開しなさい。\n$(3x+7y)(3x-7y)$,test,testr,testt,tset,,
25,次の式を展開しなさい。\n$(5+ab)(5-ab)$,test,testr,testt,tset,,
26,次の式を展開しなさい。\n$(a-b+5)^2$,test,testr,testt,tset,,
27,次の式を展開しなさい。\n$(a+b+7)(a+b-7)$,test,testr,testt,tset,,
28,次の式を因数分解しなさい。\n$4ax+3bx$,test,testr,testt,tset,,
29,次の式を因数分解しなさい。\n$16x^2y-12xy$,test,testr,testt,tset,,
30,次の式を因数分解しなさい。\n$3a^2b+6ab^2-12b$,test,testr,testt,tset,,
31,次の式を因数分解しなさい。\n$x^2+4x+3$,test,testr,testt,tset,,
32,次の式を因数分解しなさい。\n$a^2-9a+8$,test,testr,testt,tset,,
33,次の式を因数分解しなさい。\n$x^2-15x+36$,test,testr,testt,tset,,
34,次の式を因数分解しなさい。\n$x^2+6x-16$,test,testr,testt,tset,,
35,次の式を因数分解しなさい。\n$n^2-3n-18$,test,testr,testt,tset,,
36,次の式を因数分解しなさい。\n$a^2+7a-60$,test,testr,testt,tset,,
37,次の式を因数分解しなさい。\n$a^2+10a+25$,test,testr,testt,tset,,
38,次の式を因数分解しなさい。\n$4x^2-36x+81$,test,testr,testt,tset,,
39,次の式を因数分解しなさい。\n$9n^2+60n+100$,test,testr,testt,tset,,
40,次の式を因数分解しなさい。\n$x^2-36$,test,testr,testt,tset,,
41,次の式を因数分解しなさい。\n$9a^2-1$,test,testr,testt,tset,,
42,次の式を因数分解しなさい。\n$49x^2-16$,test,testr,testt,tset,,
43,次の式を因数分解しなさい。\n$a^2-81b^2$,test,testr,testt,tset,,
44,次の式を因数分解しなさい。\n$64x^2-25y^2$,test,testr,testt,tset,,
45,次の式を因数分解しなさい。\n$144-m^2$,test,testr,testt,tset,,
46,次の式を因数分解しなさい。\n$x^2-10xy+24y^2$,test,testr,testt,tset,,
47,次の式を因数分解しなさい。\n$a^2+12ab+36b^2$,test,testr,testt,tset,,
48,次の式を因数分解しなさい。\n$x^2+7xy-30y^2$,test,testr,testt,tset,,
49,次の式を因数分解しなさい。\n$5a^2b-20b$,test,testr,testt,tset,,
50,次の式を因数分解しなさい。\n$(x+y)^2-3(x+y)-10$,test,testr,testt,tset,,
51,次の式を因数分解しなさい。\n$(2x+1)^2-16$,test,testr,testt,tset,,
52,次の式を計算しなさい。\n$x(x-4)+(x+1)(x-1)$,test,testr,testt,tset,,
53,次の式を計算しなさい。\n$(x+1)(x+3)^2+(x-2)^2$,test,testr,testt,tset,,
54,次の式を計算しなさい。\n$(a+b)^2+(a-b)^2$,test,testr,testt,tset,,
55,次の式を計算しなさい。\n$(a+b)^2-(a-b)^2$,test,testr,testt,tset,,
56,次の式を計算しなさい。\n$(x-1)(x-5)-(x+3)(x-3)$,test,testr,testt,tset,,
57,次の式を計算しなさい。\n$(a-b)(a-3b)-(a-2b)^2$,test,testr,testt,tset,,
58,"次の式の値を求めなさい。\n$x=4, y=9$ のとき、$(20x^2y-8xy^2)\div4xy$ の値",test,testr,testt,tset,,
59,"次の式の値を求めなさい。\n$x=3.6, y=6.4$ のとき、$x^2+2xy+y^2$ の値",test,testr,testt,tset,,
60,次の式をくふうして計算しなさい。\n$95^2$,test,testr,testt,tset,,
61,次の式をくふうして計算しなさい。\n$96\times104$,test,testr,testt,tset,,
62,次の式をくふうして計算しなさい。\n$63^2-37^2$,test,testr,testt,tset,,
63,"図のように、縦が $a \text{m}$、横が $b \text{m}$ の長方形の土地の外側に、L字型に幅 $x \text{m}$ の道をつける。この道のちょうど真ん中を通る線の長さを $l \text{m}$、この道の面積を $S \text{m}^2$ とする。$l, S$ をそれぞれ $a, b, x$ で表しなさい。",test,testr,testt,tset,,IMAGE/MATH_301.png
64,図のように、縦が $a \text{m}$、横が $b \text{m}$ の長方形の土地の外側に、L字型に幅 $x \text{m}$ の道をつける。 $S$ と $l$ の関係を式に表しなさい。,test,testr,testt,tset,,IMAGE/MATH_301.png
